date	pa_conc	strain	replicate	pheno
10192015	100	DL238	C	46.2365591397849
10192015	120	DL238	C	15.0684931506849
10192015	140	DL238	C	0
10132015	0	N2	A	100
10132015	20	N2	A	100
10132015	40	N2	A	100
10132015	60	N2	A	99.009900990099
10132015	80	N2	A	31.6455696202532
10132015	100	N2	A	2.29885057471264
10132015	120	N2	A	0
10132015	140	N2	A	0
10152015	0	N2	A	100
10152015	20	N2	A	100
10152015	40	N2	A	100
10152015	60	N2	A	100
10152015	80	N2	A	98.5714285714286
10152015	100	N2	A	8.33333333333333
10152015	120	N2	A	0
10152015	140	N2	A	0
10192015	0	N2	A	100
10192015	20	N2	A	100
10192015	40	N2	A	100
10192015	60	N2	A	97.7099236641221
10192015	80	N2	A	64.2857142857143
10192015	100	N2	A	1.94174757281553
10192015	120	N2	A	0
10192015	140	N2	A	0
10132015	0	N2	B	100
10132015	20	N2	B	100
10132015	40	N2	B	100
10132015	60	N2	B	98.9583333333333
10132015	80	N2	B	32.4324324324324
10132015	100	N2	B	1.69491525423729
10132015	120	N2	B	0
10132015	140	N2	B	0
10152015	0	N2	B	100
10152015	20	N2	B	100
10152015	40	N2	B	100
10152015	60	N2	B	100
10152015	80	N2	B	95.5056179775281
10152015	100	N2	B	8.53658536585366
10152015	120	N2	B	0
10152015	140	N2	B	0
10192015	0	N2	B	100
10192015	20	N2	B	100
10192015	40	N2	B	100
10192015	60	N2	B	95.8762886597938
10192015	80	N2	B	71.7171717171717
10192015	100	N2	B	0
10192015	120	N2	B	0
10192015	140	N2	B	0
10132015	0	N2	C	100
10132015	20	N2	C	100
10132015	40	N2	C	100
10132015	60	N2	C	100
10132015	80	N2	C	40.1408450704225
10132015	100	N2	C	2.3121387283237
10132015	120	N2	C	0
10132015	140	N2	C	0
10152015	0	N2	C	100
10152015	20	N2	C	100
10152015	40	N2	C	100
10152015	60	N2	C	100
10152015	80	N2	C	97.6470588235294
10152015	100	N2	C	8.69565217391304
10152015	120	N2	C	0
10152015	140	N2	C	0
10192015	0	N2	C	100
10192015	20	N2	C	100
10192015	40	N2	C	100
10192015	60	N2	C	99.1869918699187
10192015	80	N2	C	70.8860759493671
10192015	100	N2	C	0.980392156862745
10192015	120	N2	C	0
10192015	140	N2	C	0
10132015	0	E03017	A	100
10132015	20	E03017	A	100
10132015	40	E03017	A	100
10132015	60	E03017	A	97.65625
10132015	80	E03017	A	46.9026548672566
10132015	100	E03017	A	13.5135135135135
10132015	120	E03017	A	0
10132015	140	E03017	A	0
10152015	0	E03017	A	100
10152015	20	E03017	A	100
10152015	40	E03017	A	100
10152015	60	E03017	A	100
10152015	80	E03017	A	97.5
10152015	100	E03017	A	0
10152015	120	E03017	A	0
