date	pa_conc	strain	replicate	pheno	dose_mean
10132015	140	CB4856	C	0	0
10152015	0	CB4856	C	100	99.76851851851852
10152015	20	CB4856	C	100	99.36496525281572
10152015	40	CB4856	C	100	99.88545246277205
10152015	60	CB4856	C	100	97.73345414440563
10152015	80	CB4856	C	100	69.3832926827824
10152015	100	CB4856	C	3.33333333333333	2.173466965133632
10152015	120	CB4856	C	0	0
10152015	140	CB4856	C	0	0
10192015	0	CB4856	C	100	99.76851851851852
10192015	20	CB4856	C	100	99.36496525281572
10192015	40	CB4856	C	98.9690721649485	99.88545246277205
10192015	60	CB4856	C	100	97.73345414440563
10192015	80	CB4856	C	75.7009345794392	69.3832926827824
10192015	100	CB4856	C	1.78571428571429	2.173466965133632
10192015	120	CB4856	C	0	0
10192015	140	CB4856	C	0	0
10132015	0	JU258	A	100	99.61685823754789
10132015	20	JU258	A	100	99.71676965951774
10132015	40	JU258	A	100	99.78277915527582
10132015	60	JU258	A	92.3076923076923	97.50508294151558
10132015	80	JU258	A	44.1558441558442	61.84938920851586
10132015	100	JU258	A	5.79710144927536	3.53325265333547
10132015	120	JU258	A	0	0
10132015	140	JU258	A	0	0
10152015	0	JU258	A	100	99.61685823754789
10152015	20	JU258	A	100	99.71676965951774
10152015	40	JU258	A	100	99.78277915527582
10152015	60	JU258	A	100	97.50508294151558
10152015	80	JU258	A	97.6470588235294	61.84938920851586
10152015	100	JU258	A	0	3.53325265333547
10152015	120	JU258	A	0	0
10152015	140	JU258	A	0	0
10192015	0	JU258	A	100	99.61685823754789
10192015	20	JU258	A	100	99.71676965951774
10192015	40	JU258	A	100	99.78277915527582
10192015	60	JU258	A	100	97.50508294151558
10192015	80	JU258	A	57.1428571428571	61.84938920851586
10192015	100	JU258	A	0	3.53325265333547
10192015	120	JU258	A	0	0
10192015	140	JU258	A	0	0
10132015	0	JU258	B	100	99.61685823754789
10132015	20	JU258	B	100	99.71676965951774
10132015	40	JU258	B	100	99.78277915527582
10132015	60	JU258	B	91.1764705882353	97.50508294151558
10132015	80	JU258	B	21.7821782178218	61.84938920851586
10132015	100	JU258	B	8.54700854700855	3.53325265333547
10132015	120	JU258	B	0	0
10132015	140	JU258	B	0	0
10152015	0	JU258	B	100	99.61685823754789
10152015	20	JU258	B	100	99.71676965951774
10152015	40	JU258	B	100	99.78277915527582
10152015	60	JU258	B	100	97.50508294151558
10152015	80	JU258	B	97.7777777777778	61.84938920851586
10152015	100	JU258	B	1.02040816326531	3.53325265333547
10152015	120	JU258	B	0	0
10152015	140	JU258	B	0	0
10192015	0	JU258	B	96.551724137931	99.61685823754789
10192015	20	JU258	B	98.2142857142857	99.71676965951774
10192015	40	JU258	B	98.9795918367347	99.78277915527582
10192015	60	JU258	B	97.8494623655914	97.50508294151558
10192015	80	JU258	B	53.8461538461538	61.84938920851586
10192015	100	JU258	B	0	3.53325265333547
10192015	120	JU258	B	0	0
10192015	140	JU258	B	0	0
10132015	0	JU258	C	100	99.61685823754789
10132015	20	JU258	C	99.236641221374	99.71676965951774
10132015	40	JU258	C	100	99.78277915527582
10132015	60	JU258	C	97.4025974025974	97.50508294151558
10132015	80	JU258	C	37.6623376623377	61.84938920851586
10132015	100	JU258	C	14.3939393939394	3.53325265333547
10132015	120	JU258	C	0	0
10132015	140	JU258	C	0	0
10152015	0	JU258	C	100	99.61685823754789
10152015	20	JU258	C	100	99.71676965951774
10152015	40	JU258	C	100	99.78277915527582
10152015	60	JU258	C	100	97.50508294151558
10152015	80	JU258	C	92.6829268292683	61.84938920851586
10152015	100	JU258	C	2.04081632653061	3.53325265333547
10152015	120	JU258	C	0	0
10152015	140	JU258	C	0	0
10192015	0	JU258	C	100	99.61685823754789
10192015	20	JU258	C	100	99.71676965951774
10192015	40	JU258	C	99.0654205607477	99.78277915527582
10192015	60	JU258	C	98.8095238095238	97.50508294151558
10192015	80	JU258	C	53.9473684210526	61.84938920851586
10192015	100	JU258	C	0	3.53325265333547
10192015	120	JU258	C	0	0
10192015	140	JU258	C	0	0
10132015	0	DL238	A	100	100
10132015	20	DL238	A	100	100
10132015	40	DL238	A	100	99.75389774586563
10132015	60	DL238	A	94.9720670391062	98.8004859084918
10132015	80	DL238	A	97.2972972972973	96.87909325519294
10132015	100	DL238	A	54.5454545454545	53.42987613119889
10132015	120	DL238	A	3.55329949238579	12.124508551263455
10132015	140	DL238	A	1.10497237569061	1.4199538275548667
10152015	0	DL238	A	100	100
10152015	20	DL238	A	100	100
10152015	40	DL238	A	100	99.75389774586563
10152015	60	DL238	A	100	98.8004859084918
10152015	80	DL238	A	100	96.87909325519294
10152015	100	DL238	A	59.0163934426229	53.42987613119889
10152015	120	DL238	A	16.3934426229508	12.124508551263455
10152015	140	DL238	A	3.94736842105263	1.4199538275548667
10192015	0	DL238	A	100	100
10192015	20	DL238	A	100	100
10192015	40	DL238	A	100	99.75389774586563
10192015	60	DL238	A	100	98.8004859084918
10192015	80	DL238	A	100	96.87909325519294
10192015	100	DL238	A	47.0588235294118	53.42987613119889
10192015	120	DL238	A	12.6760563380282	12.124508551263455
